iter	Passed	Remaining
0	49	49542
1	51	25925
2	54	18072
3	56	14072
4	58	11655
5	61	10108
6	63	8996
7	65	8152
8	68	7507
9	70	6987
10	72	6561
11	75	6207
12	77	5901
13	80	5649
14	82	5430
15	84	5218
16	86	5007
17	88	4833
18	91	4698
19	93	4573
20	95	4464
21	98	4356
22	100	4261
23	102	4176
24	104	4092
25	107	4015
26	109	3948
27	111	3882
28	114	3822
29	116	3766
30	118	3714
31	121	3670
32	123	3623
33	126	3581
34	128	3540
35	130	3500
36	132	3445
37	134	3411
38	137	3377
39	139	3346
40	141	3316
41	144	3288
42	146	3259
43	148	3234
44	151	3208
45	153	3183
46	155	3159
47	158	3136
48	159	3103
49	162	3082
50	164	3062
51	166	3043
52	169	3024
53	171	3005
54	173	2987
55	176	2970
56	178	2953
57	180	2936
58	183	2921
59	185	2907
60	187	2891
61	190	2877
62	192	2863
63	194	2849
64	197	2836
65	199	2823
66	201	2811
67	204	2800
68	206	2789
69	209	2777
70	211	2765
71	213	2754
72	216	2743
73	218	2732
74	220	2721
75	223	2711
76	225	2700
77	227	2691
78	229	2681
79	232	2671
80	234	2661
81	236	2652
82	239	2642
83	241	2633
84	243	2625
85	246	2617
86	248	2608
87	250	2599
88	253	2591
89	255	2583
90	257	2574
91	259	2565
92	262	2557
93	264	2549
94	266	2542
95	269	2534
96	272	2533
97	274	2525
98	276	2518
99	279	2512
100	281	2505
101	283	2498
102	286	2492
103	288	2485
104	290	2479
105	293	2473
106	295	2466
107	297	2460
108	300	2454
109	302	2448
110	304	2442
111	306	2433
112	309	2428
113	311	2422
114	313	2415
115	316	2410
116	318	2404
117	321	2399
118	323	2393
119	325	2387
120	327	2382
121	330	2376
122	332	2370
123	334	2365
124	337	2359
125	339	2353
126	341	2348
127	343	2342
128	346	2337
129	348	2332
130	350	2327
131	353	2321
132	355	2316
133	357	2311
134	359	2306
135	362	2302
136	364	2297
137	367	2293
138	369	2288
139	371	2283
140	374	2278
141	376	2274
142	378	2269
143	380	2264
144	383	2260
145	385	2255
146	387	2250
147	390	2246
148	392	2241
149	394	2237
150	397	2232
151	399	2228
152	401	2224
153	404	2220
154	406	2215
155	408	2212
156	411	2209
157	413	2205
158	416	2201
159	418	2196
160	420	2192
161	423	2188
162	425	2184
163	427	2180
164	430	2176
165	432	2172
166	434	2168
167	437	2164
168	439	2160
169	441	2156
170	444	2152
171	446	2149
172	448	2144
173	450	2140
174	453	2136
175	455	2132
176	457	2129
177	460	2125
178	462	2121
179	464	2117
180	467	2113
181	469	2110
182	471	2106
183	474	2102
184	476	2099
185	478	2095
186	481	2091
187	483	2087
188	485	2083
189	488	2080
190	490	2077
191	492	2073
192	495	2069
193	497	2066
194	499	2062
195	501	2058
196	504	2055
197	506	2051
198	508	2048
199	511	2044
200	513	2040
201	515	2037
202	517	2033
203	520	2030
204	522	2026
205	524	2023
206	527	2019
207	529	2016
208	531	2012
209	534	2009
210	536	2005
211	538	2002
212	540	1998
213	543	1995
214	545	1992
215	548	1989
216	550	1985
217	552	1982
218	554	1979
219	557	1975
220	559	1972
221	561	1968
222	564	1965
223	566	1962
224	568	1959
225	571	1955
226	573	1952
227	575	1949
228	577	1945
229	580	1942
230	582	1939
231	584	1935
232	587	1932
233	589	1929
234	591	1926
235	594	1923
236	596	1919
237	598	1916
238	600	1913
239	603	1910
240	605	1907
241	608	1904
242	610	1901
243	612	1898
244	614	1895
245	617	1892
246	619	1889
247	622	1886
248	624	1882
249	626	1880
250	629	1877
251	631	1873
252	633	1870
253	635	1867
254	638	1864
255	640	1861
256	642	1858
257	645	1855
258	647	1852
259	649	1849
260	652	1846
261	654	1843
262	656	1840
263	659	1837
264	661	1834
265	663	1831
266	665	1828
267	668	1825
268	670	1822
269	672	1819
270	675	1816
271	677	1813
272	679	1810
273	682	1807
274	684	1804
275	686	1801
276	688	1798
277	691	1795
278	693	1792
279	695	1789
280	698	1786
281	700	1783
282	702	1780
283	705	1778
284	707	1775
285	709	1772
286	712	1769
287	714	1766
288	716	1763
289	719	1760
290	721	1758
291	723	1755
292	726	1752
293	728	1750
294	731	1747
295	733	1744
296	735	1741
297	738	1738
298	740	1735
299	742	1733
300	745	1730
301	747	1727
302	749	1724
303	752	1721
304	754	1718
305	756	1716
306	759	1713
307	761	1710
308	763	1707
309	766	1705
310	768	1702
311	770	1699
312	772	1696
313	775	1693
314	777	1691
315	780	1688
316	782	1685
317	784	1682
318	787	1680
319	789	1677
320	791	1674
321	793	1671
322	797	1671
323	800	1669
324	802	1666
325	804	1664
326	807	1661
327	809	1658
328	811	1655
329	814	1653
330	816	1650
331	818	1647
332	821	1644
333	823	1642
334	825	1639
335	828	1636
336	830	1634
337	832	1631
338	835	1628
339	837	1625
340	839	1623
341	842	1620
342	844	1617
343	846	1615
344	849	1612
345	851	1609
346	853	1607
347	856	1604
348	858	1601
349	860	1598
350	863	1595
351	865	1593
352	867	1590
353	870	1587
354	872	1585
355	874	1582
356	877	1579
357	879	1576
358	881	1574
359	883	1571
360	886	1568
361	888	1566
362	890	1563
363	893	1560
364	895	1557
365	897	1555
366	900	1552
367	902	1549
368	904	1547
369	906	1544
370	909	1541
371	911	1538
372	913	1536
373	916	1533
374	918	1530
375	920	1528
376	923	1525
377	925	1522
378	927	1520
379	930	1517
380	932	1514
381	934	1512
382	937	1509
383	939	1506
384	941	1504
385	943	1501
386	946	1498
387	948	1496
388	950	1493
389	953	1490
390	955	1488
391	957	1485
392	960	1482
393	962	1480
394	964	1477
395	966	1474
396	969	1472
397	971	1469
398	973	1467
399	976	1464
400	978	1461
401	980	1459
402	983	1456
403	985	1453
404	987	1451
405	989	1448
406	992	1445
407	994	1443
408	996	1440
409	999	1437
410	1001	1435
411	1003	1432
412	1005	1429
413	1008	1427
414	1010	1424
415	1012	1421
416	1015	1419
417	1017	1416
418	1019	1414
419	1022	1411
420	1024	1408
421	1026	1406
422	1029	1403
423	1031	1401
424	1033	1398
425	1036	1396
426	1038	1393
427	1040	1391
428	1043	1388
429	1045	1386
430	1047	1383
431	1050	1380
432	1052	1378
433	1054	1375
434	1057	1372
435	1059	1370
436	1061	1367
437	1064	1365
438	1066	1363
439	1068	1360
440	1071	1357
441	1073	1355
442	1076	1352
443	1078	1350
444	1080	1347
445	1083	1345
446	1085	1342
447	1087	1340
448	1090	1337
449	1092	1335
450	1094	1332
451	1096	1329
452	1099	1327
453	1101	1324
454	1104	1322
455	1106	1319
456	1108	1317
457	1111	1314
458	1113	1312
459	1115	1309
460	1118	1307
461	1120	1304
462	1122	1302
463	1125	1299
464	1127	1297
465	1129	1294
466	1132	1291
467	1134	1289
468	1136	1286
469	1138	1284
470	1141	1281
471	1143	1279
472	1145	1276
473	1148	1273
474	1150	1271
475	1152	1268
476	1155	1266
477	1157	1263
478	1159	1261
479	1161	1258
480	1164	1256
481	1166	1253
482	1168	1251
483	1171	1248
484	1173	1246
485	1175	1243
486	1178	1240
487	1180	1238
488	1182	1235
489	1185	1233
490	1187	1230
491	1189	1228
492	1192	1225
493	1194	1223
494	1196	1220
495	1198	1218
496	1201	1215
497	1203	1213
498	1205	1210
499	1208	1208
500	1210	1205
501	1212	1203
502	1215	1200
503	1217	1198
504	1219	1195
